run_id,seed,split,k,final_train_loss,best_val_ndcg,best_epoch,best_checkpoint_path,Recall@20,Precision@20,MRR@20,NDCG@20
1,42,random,20,6.174990002810955,0.030190146138626396,99,checkpoints/k20_5runs/run_1_seed_42/best_checkpoint.pth,0.048953232810686274,0.002447661640534314,0.009365206502729869,0.01772533288198339
2,2024,random,20,6.18130478784442,0.03025778014187575,100,checkpoints/k20_5runs/run_2_seed_2024/best_checkpoint.pth,0.04841114116184382,0.0024205570580921915,0.009384964964709051,0.017635679087707166
3,3407,random,20,6.179160255938768,0.0318884257155172,100,checkpoints/k20_5runs/run_3_seed_3407/best_checkpoint.pth,0.050013846906247605,0.0025006923453123804,0.00974271187253703,0.018252417739826422
4,12345,random,20,6.178228230774403,0.031541208771563835,100,checkpoints/k20_5runs/run_4_seed_12345/best_checkpoint.pth,0.05011401601527284,0.0025057008007636425,0.009631332491922539,0.01820107697672054
5,98765,random,20,6.179666264355182,0.030984597051704664,99,checkpoints/k20_5runs/run_5_seed_98765/best_checkpoint.pth,0.04998438540359312,0.0024992192701796564,0.009666370523515273,0.018202262598360247
