run_id,seed,split,k,final_train_loss,best_val_ndcg,best_epoch,best_checkpoint_path,Recall@10,Precision@10,MRR@10,NDCG@10
1,42,temporal,10,4.851816865801811,0.10281758972991319,100,checkpoints/k10_5runs/run_1_seed_42/best_checkpoint.pth,0.19012918184829414,0.019012918184829416,0.06931155591307961,0.09742841236646951
2,2024,temporal,10,4.857208245396614,0.10129973210581206,100,checkpoints/k10_5runs/run_2_seed_2024/best_checkpoint.pth,0.18582312023848957,0.018582312023848958,0.07041902606245104,0.09723210182984401
3,3407,temporal,10,4.85507011115551,0.10200170444656173,99,checkpoints/k10_5runs/run_3_seed_3407/best_checkpoint.pth,0.1909572706194104,0.01909572706194104,0.0735164723944121,0.10077497340172514
4,12345,temporal,10,4.852241274118423,0.10237725347570398,100,checkpoints/k10_5runs/run_4_seed_12345/best_checkpoint.pth,0.19112288837363364,0.019112288837363368,0.07258671272417545,0.10003190292904782
5,98765,temporal,10,4.858858808577061,0.09904229564363104,99,checkpoints/k10_5runs/run_5_seed_98765/best_checkpoint.pth,0.18615435574693606,0.01861543557469361,0.06728484150643806,0.09475300698010602
